name,x,y,width,height,rotated
b0,224,66,27,15,0
b1,522,0,27,16,0
b2,309,248,22,26,0
b3,489,350,21,45,0
b4,15,312,45,40,1
b5,307,152,16,26,0
b6,470,169,38,27,0
b7,280,460,35,29,0
b8,141,512,21,36,0
b9,508,480,44,25,0
b10,206,267,15,31,0
b11,0,112,24,41,1
b12,386,309,19,17,1
b13,389,478,33,48,0
b14,332,306,21,44,1
b15,0,299,15,34,1
b16,317,516,45,42,0
b17,339,0,37,41,1
b18,180,39,44,43,1
b19,92,73,36,23,0
b20,180,291,17,13,1
b21,480,474,28,44,0
b22,131,0,35,29,0
b23,443,473,17,40,1
b24,508,524,24,18,1
b25,44,0,29,43,0
b26,353,324,18,27,1
b27,140,291,40,38,1
b28,237,297,12,24,1
b29,479,47,29,30,0
b30,389,526,28,20,1
b31,53,186,36,32,1
b32,147,429,22,19,1
b33,230,148,45,46,0
b34,540,415,12,29,1
b35,373,411,26,12,1
b36,100,286,30,27,1
b37,37,166,12,29,0
b38,280,507,21,19,0
b39,206,480,12,13,0
b40,351,167,47,19,1
b41,46,81,36,19,0
b42,411,45,46,25,0
b43,398,178,39,21,0
b44,136,106,27,24,0
b45,246,272,24,25,0
b46,462,102,13,19,1
b47,512,117,42,40,0
b48,133,197,34,28,1
b49,206,186,24,48,0
b50,214,527,19,14,0
b51,275,216,14,16,0
b52,280,489,37,18,0
b53,313,274,12,36,1
b54,317,426,34,30,1
b55,286,352,31,26,1
b56,226,117,46,31,0
b57,171,432,47,48,0
b58,482,415,25,25,0
b59,62,326,38,47,1
b60,170,162,16,39,1
b61,102,313,31,45,0
b62,110,476,46,36,0
b63,218,417,46,36,1
b64,353,309,33,15,0
b65,467,474,13,23,0
b66,105,142,45,42,1
b67,437,178,33,14,1
b68,512,186,45,28,1
b69,332,279,36,27,0
b70,387,109,45,16,1
b71,410,310,34,32,0
b72,218,453,32,15,0
b73,489,338,46,12,1
b74,142,395,43,34,0
b75,264,419,20,37,0
b76,0,462,39,36,0
b77,376,0,18,40,1
b78,62,517,42,16,0
b79,82,13,40,25,0
b80,43,423,15,36,1
b81,378,266,32,15,1
b82,275,117,39,24,0
b83,279,378,37,41,0
b84,15,352,38,34,1
b85,170,128,43,34,1
b86,180,0,44,39,1
b87,238,328,48,45,1
b88,140,225,29,44,0
b89,353,373,20,42,0
b90,533,214,24,46,1
b91,386,326,21,43,1
b92,15,267,47,45,1
b93,293,284,20,24,0
b94,187,413,31,19,0
b95,0,0,44,37,0
b96,245,497,33,46,1
b97,388,125,40,15,0
b98,508,60,35,13,1
b99,251,66,40,17,0
b100,294,0,45,44,1
b101,191,316,30,36,0
b102,102,389,40,36,0
b103,398,140,34,34,0
b104,307,195,42,14,0
b105,82,38,33,35,1
b106,533,275,12,33,0
b107,0,267,15,32,1
b108,314,86,37,38,0
b109,62,475,46,42,1
b110,230,194,42,39,1
b111,367,491,21,13,1
b112,338,232,30,25,0
b113,440,233,24,36,1
b114,92,96,44,34,1
b115,62,407,34,22,0
b116,272,232,28,19,0
b117,512,254,21,39,1
b118,429,429,38,44,1
b119,444,371,45,28,1
b120,317,373,36,36,0
b121,213,82,38,34,1
b122,218,374,20,43,1
b123,128,66,36,23,1
b124,171,480,35,31,1
b125,286,310,46,42,0
b126,429,504,12,22,1
b127,60,533,43,25,1
b128,0,239,44,28,0
b129,535,321,22,34,1
b130,351,186,30,26,0
b131,394,0,48,45,0
b132,351,415,18,39,0
b133,371,324,15,43,0
b134,98,239,34,47,0
b135,150,130,15,45,1
b136,104,547,37,12,0
b137,40,218,28,21,1
b138,368,281,42,28,0
b139,144,29,36,37,0
b140,105,130,43,12,1
b141,142,376,45,19,1
b142,351,125,37,27,1
b143,387,62,24,25,0
b144,221,318,15,40,0
b145,545,275,13,45,0
b146,432,130,33,48,1
b147,188,371,30,42,0
b148,201,298,20,18,1
b149,294,44,47,22,0
b150,428,532,31,23,1
b151,341,41,42,18,1
b152,218,358,19,16,1
b153,250,456,30,41,1
b154,462,47,17,22,1
b155,221,277,25,14,0
b156,475,102,28,16,0
b157,351,212,25,20,1
b158,171,278,23,13,0
b159,275,155,32,44,1
b160,46,65,27,16,0
b161,476,0,46,47,0
b162,249,297,31,18,0
b163,44,43,33,22,0
b164,49,150,41,36,1
b165,43,487,17,21,1
b166,62,373,36,34,1
b167,224,0,36,37,0
b168,269,0,24,41,0
b169,24,127,24,39,0
b170,224,37,45,29,1
b171,62,429,40,22,1
b172,301,209,27,13,0
b173,465,121,25,32,0
b174,512,293,16,43,1
b175,24,112,16,15,1
b176,510,355,38,33,1
b177,238,373,41,37,0
b178,136,89,19,17,1
b179,444,325,34,46,1
b180,471,518,19,40,0
b181,510,415,30,28,0
b182,165,104,45,24,0
b183,238,233,33,39,0
b184,462,77,46,25,0
b185,164,329,27,34,0
b186,102,425,33,31,1
b187,351,86,36,38,0
b188,169,201,37,40,0
b189,89,186,44,12,0
b190,35,386,27,37,1
b191,369,457,16,34,0
b192,512,157,48,29,1
b193,206,234,17,33,1
b194,213,116,13,28,1
b195,492,305,13,33,1
b196,91,198,41,41,0
b197,484,196,28,37,1
b198,62,456,48,19,0
b199,512,86,36,31,1
