name,x,y,width,height,rotated
b0,315,245,15,27,1
b1,164,27,27,16,0
b2,260,63,26,22,1
b3,516,290,21,45,0
b4,90,273,45,40,1
b5,104,152,26,16,1
b6,62,313,38,27,0
b7,408,373,29,35,1
b8,40,180,21,36,0
b9,333,248,44,25,0
b10,187,353,15,31,0
b11,254,268,24,41,1
b12,491,104,17,19,0
b13,380,467,33,48,0
b14,150,165,21,44,1
b15,438,405,15,34,1
b16,13,366,45,42,0
b17,273,213,41,37,0
b18,438,179,43,44,0
b19,62,417,36,23,0
b20,204,240,13,17,0
b21,438,223,44,28,1
b22,409,259,29,35,1
b23,481,174,17,40,1
b24,215,295,24,18,1
b25,172,102,43,29,1
b26,541,225,18,27,1
b27,278,384,40,38,1
b28,202,273,12,24,1
b29,510,142,30,29,1
b30,261,539,28,20,1
b31,61,180,36,32,1
b32,195,170,19,22,0
b33,104,168,46,45,1
b34,453,429,29,12,0
b35,380,515,26,12,1
b36,389,51,30,27,1
b37,314,203,12,29,0
b38,43,408,19,21,1
b39,203,405,12,13,0
b40,413,491,19,47,0
b41,237,477,36,19,0
b42,462,149,46,25,0
b43,215,129,39,21,0
b44,217,497,27,24,0
b45,466,104,25,24,1
b46,497,335,19,13,0
b47,0,172,40,42,1
b48,523,362,34,28,1
b49,204,192,24,48,0
b50,186,339,19,14,0
b51,260,49,16,14,1
b52,97,213,37,18,0
b53,159,444,12,36,1
b54,138,259,34,30,1
b55,352,525,26,31,0
b56,143,304,31,46,1
b57,240,334,47,48,0
b58,354,211,25,25,1
b59,0,504,47,38,0
b60,275,109,39,16,0
b61,117,79,45,31,1
b62,449,331,36,46,1
b63,110,468,46,36,1
b64,511,522,33,15,0
b65,395,304,13,23,0
b66,228,184,45,42,1
b67,355,179,33,14,1
b68,154,43,45,28,1
b69,322,134,27,36,1
b70,290,20,45,16,1
b71,394,150,34,32,0
b72,138,289,32,15,0
b73,330,236,46,12,1
b74,110,504,43,34,0
b75,318,419,20,37,0
b76,102,354,36,39,1
