name,x,y,width,height,rotated
b0,65,382,16,36,1
b1,93,84,19,39,0
b2,37,205,41,35,0
b3,356,52,18,47,0
b4,182,48,32,26,1
b5,233,89,35,31,0
b6,375,33,13,29,1
b7,304,41,28,21,0
b8,307,188,32,15,0
b9,20,134,46,34,0
b10,220,397,32,45,1
b11,393,68,14,36,0
b12,268,31,36,42,0
b13,375,115,45,48,1
b14,416,415,25,15,1
b15,20,0,46,45,1
b16,422,313,18,22,0
b17,341,398,33,26,0
b18,253,273,34,19,0
b19,304,62,30,12,0
b20,410,335,28,33,0
b21,150,88,44,39,0
b22,65,343,39,26,1
b23,12,285,25,40,1
b24,255,218,15,25,1
b25,296,377,36,36,1
b26,79,237,25,43,1
b27,184,293,34,15,0
b28,295,276,46,38,0
b29,233,167,12,37,0
b30,78,220,27,17,1
b31,252,409,37,16,0
b32,271,73,23,32,0
b33,66,63,18,36,0
b34,384,313,38,19,1
b35,356,19,15,33,0
b36,223,327,28,12,0
b37,381,204,21,16,1
b38,296,413,33,26,0
b39,295,205,42,30,1
b40,81,388,28,41,0
b41,93,123,16,16,1
b42,296,326,44,19,1
b43,183,308,40,34,0
b44,104,320,27,16,0
b45,252,425,37,14,1
b46,39,299,15,48,1
b47,338,29,14,23,1
b48,227,339,26,24,1
b49,267,0,40,31,0
b50,104,241,33,42,0
b51,199,0,27,48,0
b52,66,99,27,37,0
b53,290,187,17,18,0
b54,200,213,43,16,0
b55,150,75,46,13,1
b56,208,178,25,22,1
b57,393,27,48,19,1
b58,384,249,41,19,1
b59,20,45,46,46,0
b60,184,229,35,30,1
b61,117,126,33,34,0
b62,341,337,45,37,1
b63,340,161,35,15,1
b64,98,37,48,47,1
b65,290,157,33,30,1
b66,34,373,31,31,1
b67,0,205,37,44,1
b68,112,102,35,24,0
b69,233,120,38,19,1
b70,141,204,14,36,1
b71,165,0,34,42,1
b72,219,273,34,33,0
b73,341,299,18,38,0
b74,365,377,29,18,0
b75,12,325,27,23,1
b76,186,200,12,14,1
b77,227,73,24,16,0
b78,332,135,43,26,1
b79,340,176,37,19,1
b80,374,19,15,14,1
b81,0,0,20,32,1
b82,150,42,32,33,0
b83,356,0,37,19,1
b84,20,91,37,43,1
b85,20,168,48,37,0
b86,341,374,24,24,1
b87,334,52,19,45,1
b88,181,357,43,28,1
b89,427,162,12,35,0
b90,386,332,24,45,1
b91,340,228,44,28,0
b92,34,418,42,24,0
b93,138,330,43,21,0
b94,184,214,16,15,1
b95,66,0,25,36,1
b96,159,195,25,45,0
b97,109,388,25,28,0
b98,245,167,26,16,1
b99,254,292,37,20,0
b100,393,0,25,27,1
b101,137,351,40,48,0
b102,359,299,25,38,0
b103,91,0,32,32,1
b104,254,312,36,25,0
b105,196,74,31,42,1
b106,0,348,34,39,0
b107,245,202,45,16,0
b108,243,218,12,33,1
b109,394,415,22,12,1
b110,384,268,23,44,1
b111,198,200,18,13,0
b112,375,62,18,46,0
b113,384,221,43,28,0
b114,181,385,39,19,0
b115,194,116,37,30,0
b116,37,240,42,37,1
b117,117,204,24,37,0
b118,78,185,39,35,0
b119,334,99,36,24,1
b120,182,342,45,15,1
b121,296,345,45,32,1
b122,253,379,43,30,0
b123,359,424,35,13,1
b124,65,369,39,13,1
b125,112,84,28,18,1
b126,233,139,38,28,0
b127,37,277,24,22,0
b128,242,0,25,36,1
b129,137,241,46,44,1
b130,138,285,44,45,0
b131,181,404,36,20,0
b132,394,377,16,38,1
b133,0,249,12,14,1
b134,226,0,16,29,1
b135,131,427,37,15,1
b136,271,254,24,19,0
b137,215,146,18,22,1
b138,410,368,22,30,1
b139,0,407,31,33,1
b140,430,197,12,16,0
b141,227,363,25,34,0
b142,159,149,27,46,0
b143,54,299,46,44,0
b144,331,0,25,29,0
b145,407,268,34,45,1
b146,184,259,33,34,0
b147,307,29,31,12,1
b148,410,398,25,17,1
b149,186,178,22,22,0
b150,329,424,30,13,1
b151,323,161,16,27,0
b152,104,336,33,33,0
b153,290,314,40,12,0
b154,117,160,42,44,0
b155,194,146,13,12,1
b156,61,280,42,19,1
b157,330,123,42,12,0
b158,402,204,28,17,0
b159,271,218,24,36,0
b160,296,145,36,12,1
b161,104,369,31,19,1
b162,256,51,12,30,1
b163,68,139,47,46,1
b164,66,36,32,27,0
b165,340,195,41,33,0
b166,76,429,36,12,0
b167,420,115,14,47,1
b168,271,108,25,37,1
b169,381,176,46,28,0
b170,393,46,45,22,1
b171,104,285,34,35,1
b172,34,348,31,25,0
b173,214,51,42,22,0
b174,190,158,25,20,0
b175,137,399,34,12,0
b176,374,395,20,16,0
b177,223,306,31,21,1
b178,271,178,16,20,1
b179,295,235,45,41,0
b180,112,416,19,21,0
b181,226,36,42,15,1
b182,271,145,12,33,1
b183,181,424,37,16,0
b184,245,183,20,19,0
b185,427,221,13,44,0
b186,375,163,48,13,1
b187,307,0,24,22,1
b188,219,229,24,40,0
b189,0,387,31,20,0
b190,296,108,34,37,1
b191,123,0,42,37,0
b192,243,251,28,22,1
b193,341,256,42,43,0
b194,253,337,43,42,1
b195,12,249,25,36,0
b196,137,411,39,16,0
b197,407,68,35,47,1
b198,150,127,40,22,1
b199,294,74,40,34,1
