name,x,y,width,height,rotated
b0,184,369,43,33,0
b1,339,221,65,37,0
b2,140,76,53,34,0
b3,84,167,37,67,0
b4,0,277,19,29,1
b5,318,292,49,39,1
b6,347,22,18,40,1
b7,0,237,22,40,0
b8,263,0,50,62,0
b9,24,201,41,16,1
b10,51,244,52,18,1
b11,140,110,59,39,1
b12,193,76,61,28,0
b13,241,154,48,57,0
b14,206,267,43,63,1
b15,399,154,52,59,1
b16,318,396,36,57,0
b17,140,210,66,44,1
b18,0,0,48,51,0
b19,289,180,50,31,1
b20,97,354,37,19,0
b21,289,116,50,64,1
b22,51,262,49,34,0
b23,406,213,20,49,0
b24,228,408,28,45,1
b25,174,330,54,39,0
b26,134,315,40,55,1
b27,313,46,25,65,0
b28,354,407,39,46,0
b29,140,52,62,24,1
b30,135,421,26,24,1
b31,103,234,34,26,1
b32,383,68,43,53,0
b33,426,213,22,35,0
b34,24,244,27,54,0
b35,206,104,31,38,0
b36,367,258,39,67,0
b37,339,201,60,20,1
b38,145,254,57,23,1
b39,79,302,55,52,1
b40,251,267,29,26,1
b41,0,145,27,55,0
b42,0,54,62,53,0
b43,90,41,46,61,1
b44,318,331,47,65,1
b45,228,363,23,44,0
b46,97,373,39,22,0
b47,107,102,33,65,1
b48,24,217,57,27,0
b49,406,262,47,65,0
b50,251,376,67,32,0
b51,145,277,57,38,1
b52,338,62,45,54,1
b53,69,54,21,43,1
b54,256,408,61,18,1
b55,243,211,34,56,0
b56,22,417,63,17,1
b57,79,354,18,47,0
b58,313,0,34,46,1
b59,85,417,50,37,0
b60,161,370,23,40,1
b61,228,330,23,33,1
b62,383,49,60,19,0
b63,400,327,45,36,1
b64,241,104,47,50,1
b65,27,145,57,56,0
b66,202,0,61,67,1
b67,280,211,44,40,0
b68,136,0,63,52,1
b69,48,0,27,54,1
b70,103,260,42,42,0
b71,85,102,22,64,1
b72,140,149,61,61,1
b73,251,293,67,61,1
b74,27,107,42,38,1
b75,339,258,19,28,0
b76,367,325,33,22,1
b77,22,337,57,66,1
b78,339,116,32,36,1
b79,75,0,60,41,0
b80,79,401,58,16,1
b81,263,62,50,40,1
b82,339,154,57,47,1
b83,347,0,16,22,1
b84,251,354,67,22,0
b85,367,347,25,20,1
b86,206,211,37,56,1
b87,24,298,44,39,1
b88,0,200,24,37,1
b89,0,107,27,38,1
b90,184,402,39,33,0
b91,371,121,56,33,0
b92,69,97,16,26,1
b93,206,142,35,65,1
b94,280,251,59,41,1
b95,137,370,19,51,1
b96,365,367,66,40,1
b97,121,167,17,67,0
b98,256,426,62,22,1
b99,365,0,66,49,1
