name,x,y,width,height,rotated
b0,44,260,33,43,1
b1,133,210,65,37,0
b2,333,0,53,34,0
b3,135,308,37,67,0
b4,248,297,19,29,1
b5,284,47,49,39,1
b6,380,428,40,18,0
b7,0,221,22,40,0
b8,385,83,50,62,0
b9,388,244,41,16,1
b10,44,242,52,18,1
b11,329,293,59,39,1
b12,323,99,61,28,0
b13,236,158,48,57,0
b14,321,351,43,63,1
b15,0,0,59,52,0
b16,96,209,36,57,0
b17,344,149,44,66,0
b18,133,83,51,48,1
b19,144,0,50,31,1
b20,0,261,19,37,1
b21,79,345,50,64,1
b22,386,0,49,34,0
b23,113,27,20,49,0
b24,225,370,28,45,1
b25,284,203,54,39,0
b26,79,409,55,40,0
b27,364,351,25,65,0
b28,59,0,46,39,1
b29,22,178,62,24,1
b30,248,271,24,26,0
b31,284,86,26,34,0
b32,172,337,53,43,1
b33,22,242,22,35,0
b34,134,375,27,54,0
b35,198,191,38,31,1
b36,184,380,39,67,0
b37,194,88,60,20,1
b38,272,304,57,23,1
b39,22,303,55,52,1
b40,37,72,26,29,0
b41,257,47,27,55,0
b42,272,242,53,62,1
b43,135,247,46,61,1
b44,388,145,47,65,1
b45,161,380,23,44,0
b46,96,266,39,22,0
b47,80,81,33,65,1
b48,22,421,57,27,0
b49,257,0,65,47,1
b50,22,146,67,32,0
b51,389,317,38,57,0
b52,389,374,45,54,1
b53,194,0,43,21,0
b54,133,192,61,18,1
b55,236,215,34,56,0
b56,261,429,63,17,1
b57,134,429,47,18,1
b58,388,210,46,34,0
b59,338,215,50,37,0
b60,283,120,40,23,0
b61,225,337,23,33,1
b62,261,410,60,19,0
b63,198,222,36,45,0
b64,236,108,47,50,1
b65,79,288,56,57,1
b66,196,21,61,67,1
b67,208,271,40,44,1
b68,133,31,63,52,1
b69,181,267,27,54,1
b70,64,39,42,42,0
b71,0,108,22,64,1
b72,133,131,61,61,1
b73,253,349,67,61,1
b74,22,108,42,38,1
b75,284,143,28,19,1
b76,0,172,22,33,0
b77,22,355,57,66,1
b78,225,415,36,32,0
b79,284,162,60,41,0
b80,181,321,58,16,1
b81,194,108,40,50,0
b82,388,260,47,57,0
b83,0,205,22,16,0
b84,248,327,67,22,0
b85,37,52,25,20,1
b86,0,52,37,56,1
b87,89,170,44,39,1
b88,89,146,37,24,0
b89,106,0,38,27,0
b90,194,158,39,33,0
b91,324,416,56,33,0
b92,64,81,16,26,1
b93,333,34,35,65,1
b94,329,252,59,41,1
b95,321,332,51,19,0
b96,22,202,66,40,1
b97,0,298,17,67,0
b98,323,127,62,22,1
b99,368,34,66,49,1
