name,x,y,width,height,rotated
b0,400,65,33,43,1
b1,347,111,65,37,0
b2,17,157,53,34,0
b3,97,141,37,67,0
b4,57,70,29,19,0
b5,298,102,49,39,1
b6,89,283,40,18,0
b7,348,250,40,22,1
b8,0,56,50,62,0
b9,119,208,16,41,0
b10,50,350,52,18,1
b11,202,252,39,59,0
b12,198,67,61,28,0
b13,292,141,48,57,0
b14,135,138,63,43,0
b15,328,198,59,52,0
b16,292,198,36,57,0
b17,348,272,44,66,0
b18,50,89,48,51,0
b19,348,402,50,31,1
b20,412,108,19,37,1
b21,348,338,50,64,1
b22,174,396,49,34,0
b23,0,238,20,49,0
b24,57,407,45,28,0
b25,259,67,39,54,1
b26,298,62,55,40,0
b27,198,0,25,65,0
b28,23,300,46,39,1
b29,57,27,62,24,1
b30,255,329,26,24,1
b31,86,51,26,34,0
b32,174,353,53,43,1
b33,257,146,35,22,1
b34,227,351,27,54,0
b35,136,353,38,31,1
b36,135,198,67,39,1
b37,198,95,60,20,1
b38,136,292,57,23,1
b39,255,354,52,55,0
b40,102,350,29,26,1
b41,23,339,27,55,0
b42,284,0,53,62,1
b43,246,174,46,61,1
b44,0,191,65,47,0
b45,0,287,23,44,0
b46,95,0,39,22,0
b47,400,0,33,65,1
b48,0,395,57,27,0
b49,388,148,47,65,0
b50,135,260,67,32,0
b51,136,315,57,38,1
b52,244,235,45,54,1
b53,392,270,43,21,0
b54,198,115,61,18,1
b55,102,376,34,56,0
b56,135,181,63,17,1
b57,193,311,47,18,1
b58,89,249,46,34,0
b59,136,384,37,50,1
b60,161,237,40,23,0
b61,112,51,23,33,1
b62,135,67,60,19,0
b63,398,323,36,45,0
b64,353,61,47,50,1
b65,0,0,57,56,0
b66,135,0,61,67,1
b67,202,174,44,40,0
b68,135,86,63,52,1
b69,70,140,27,54,1
b70,340,148,42,42,1
b71,0,331,22,64,1
b72,337,0,61,61,0
b73,223,0,61,67,0
b74,202,214,42,38,1
b75,57,51,28,19,1
b76,97,208,22,33,0
b77,291,288,57,66,1
b78,392,291,36,32,0
b79,307,354,41,60,1
b80,290,414,58,16,1
b81,241,289,50,40,1
b82,388,213,47,57,0
b83,274,409,16,22,1
b84,20,238,67,22,0
b85,259,121,20,25,0
b86,98,85,37,56,1
b87,57,368,44,39,1
b88,70,194,24,37,1
b89,57,0,38,27,0
b90,17,118,33,39,1
b91,292,255,56,33,0
b92,135,237,26,16,0
b93,398,368,35,65,1
b94,198,133,59,41,1
b95,223,409,51,19,0
b96,23,260,66,40,1
b97,0,118,17,67,0
b98,193,329,62,22,1
b99,69,301,66,49,1
