name,x,y,width,height,rotated
b0,136,361,33,43,1
b1,135,219,65,37,0
b2,289,158,53,34,0
b3,95,81,37,67,0
b4,57,0,19,29,1
b5,259,0,39,49,0
b6,72,327,40,18,0
b7,136,404,40,22,1
b8,348,123,50,62,0
b9,48,99,16,41,0
b10,50,349,52,18,1
b11,95,148,39,59,0
b12,198,43,61,28,0
b13,0,56,48,57,0
b14,195,0,63,43,0
b15,289,192,59,52,0
b16,136,288,36,57,0
b17,348,232,44,66,0
b18,241,223,48,51,0
b19,176,404,50,31,1
b20,392,246,37,19,0
b21,346,298,50,64,1
b22,76,0,49,34,0
b23,0,277,20,49,0
b24,57,407,45,28,0
b25,202,216,39,54,1
b26,292,118,55,40,0
b27,409,28,25,65,0
b28,23,243,46,39,1
b29,57,57,62,24,1
b30,347,362,24,26,0
b31,398,164,34,26,1
b32,176,361,53,43,1
b33,56,166,22,35,0
b34,408,363,27,54,0
b35,64,99,31,38,0
b36,23,204,67,39,1
b37,226,415,60,20,1
b38,76,34,57,23,1
b39,299,66,55,52,1
b40,48,140,29,26,1
b41,23,349,27,55,0
b42,356,0,53,62,1
b43,347,388,61,46,0
b44,172,292,65,47,0
b45,0,233,23,44,0
b46,202,270,39,22,0
b47,259,93,33,65,1
b48,0,407,57,27,0
b49,242,158,47,65,0
b50,135,256,67,32,0
b51,289,244,57,38,1
b52,0,113,45,54,1
b53,392,93,43,21,0
b54,135,179,61,18,1
b55,102,369,34,56,0
b56,196,138,63,17,1
b57,48,81,47,18,1
b58,196,155,46,34,0
b59,398,114,37,50,1
b60,241,274,40,23,0
b61,0,200,23,33,1
b62,135,41,60,19,0
b63,90,207,45,36,1
b64,348,185,50,47,0
b65,0,0,57,56,0
b66,198,71,61,67,1
b67,259,49,40,44,1
b68,135,60,63,52,1
b69,229,361,27,54,1
b70,241,297,42,42,0
b71,112,283,22,64,1
b72,283,282,61,61,1
b73,135,112,61,67,0
b74,354,81,38,42,0
b75,409,0,19,28,0
b76,102,347,33,22,1
b77,299,0,57,66,1
b78,311,403,36,32,0
b79,303,343,41,60,1
b80,136,345,58,16,1
b81,50,367,50,40,1
b82,256,355,47,57,0
b83,0,326,22,16,0
b84,135,197,67,22,0
b85,286,412,25,20,1
b86,398,190,37,56,1
b87,72,283,39,44,0
b88,371,363,37,24,0
b89,202,189,38,27,0
b90,396,265,39,33,0
b91,0,167,56,33,0
b92,256,339,26,16,0
b93,396,298,35,65,1
b94,134,0,59,41,1
b95,356,62,51,19,0
b96,69,243,66,40,1
b97,78,137,17,67,0
b98,194,339,62,22,1
b99,23,283,49,66,0
